Date,Close,High,Low,Open,Volume
2019-04-17,364634.1875,366725.15625,361997.5625,364073.21875,863585055656
2019-04-18,367661.4375,369313.4375,364529.5625,364602.4375,919883995078
2019-04-19,368031.5625,370343.375,363299.3125,367645.40625,956210760283
2019-04-20,370395.90625,371825.65625,367480.96875,368055.6875,913841841564
2019-04-21,368668.46875,371925.1875,364806.78125,370256.65625,952576509502
2019-04-22,376338.4375,378013.53125,368993.65625,368527.15625,1017740909870
2019-04-23,388775.53125,392915.4375,375631.03125,376338.4375,1107038809350
2019-04-24,383118.84375,394280.1875,379403.34375,388715.9375,1195166019870
2019-04-25,365621.875,388927.78125,363576.125,383235.0625,1075725986740
2019-04-26,368773.03125,377177.1875,363298.53125,365607.09375,1174359370780
2019-04-27,368005.9375,370971.84375,365579.9375,368781.625,915861869880
2019-04-28,369177.3125,372053.28125,367113.625,368247.3125,895501546630
2019-04-29,366381.84375,371015.03125,364224.1875,369157.71875,959042533943
2019-04-30,372228.65625,373100.375,363426.0,366407.90625,965504049541
2019-05-01,376259.5,376957.28125,372450.1875,372241.71875,952682017018
2019-05-02,382256.0625,383399.65625,375181.3125,376240.40625,1016829356400
2019-05-03,399038.71875,406843.65625,381208.875,382274.71875,1295066119240
2019-05-04,403388.5,407243.53125,390542.28125,399101.90625,1215303937800
2019-05-05,400935.0,403574.96875,394870.46875,403381.65625,1024443988570
2019-05-06,398887.59375,402103.84375,392272.625,400657.25,1092321816080
2019-05-07,405856.3125,416720.3125,398118.15625,398803.75,1255018425900
2019-05-08,417096.9375,417621.5,403443.875,407247.3125,1068152601490
2019-05-09,433452.21875,434049.65625,417087.09375,417087.09375,1178282913500
2019-05-10,446088.84375,450329.28125,431537.40625,433543.0625,1358080434150
2019-05-11,503847.6875,512815.25,445868.53125,446146.0625,2018780802590
2019-05-12,487595.4375,524764.5,476643.90625,503759.28125,1942258907510
2019-05-13,551816.625,567857.625,482426.0625,487511.96875,2024950507100
2019-05-14,562129.6875,581996.875,541148.3125,551320.1875,2252300724320
2019-05-15,576160.3125,577282.625,554779.5625,561775.125,1990300933920
2019-05-16,553836.4375,584612.1875,542509.5,575411.3125,2329665616450
2019-05-17,516628.375,556880.625,494924.4375,553978.0625,2115128335790
2019-05-18,511514.9375,523900.6875,510128.84375,516471.40625,1502231351060
2019-05-19,576237.4375,580753.875,511286.65625,511286.65625,1820750275120
2019-05-20,557256.9375,576467.875,534902.4375,576183.625,1665378341200
2019-05-21,554605.9375,561656.0625,546637.625,557233.25,1749986981950
2019-05-22,534916.6875,556993.6875,530455.5,554115.9375,1721711479670
2019-05-23,549009.5,553440.0,526201.0625,534721.8125,1703558157670
2019-05-24,554163.8125,564803.125,545547.9375,548998.9375,1798269030640
2019-05-25,558685.5,563221.6875,552679.4375,554477.0,1544177693330
2019-05-26,601674.625,602666.9375,549734.375,558870.1875,1850692642980
2019-05-27,612029.625,618870.5,602144.6875,601734.0,1942602786080
2019-05-28,607380.1875,612087.375,600878.5,611819.6875,1687501834600
2019-05-29,604650.4375,610943.0625,591793.3125,607284.75,1639040433330
2019-05-30,580143.4375,629116.25,573249.6875,604809.1875,2039454024770
2019-05-31,596607.8125,597453.75,568640.375,580200.1875,1764892231180
2019-06-01,595878.25,600163.25,590142.25,596561.75,1564720418780
2019-06-02,608332.125,612945.1875,595684.75,595979.625,1410116622970
2019-06-03,567831.75,608377.125,567496.875,608247.875,1522093864600
2019-06-04,534271.0625,567969.5,524326.8125,567969.5,1705845691060
2019-06-05,543005.875,547723.75,532283.0625,534033.5,1510219730430
2019-06-06,540856.9375,549740.25,523608.09375,542686.75,1346579772790
2019-06-07,558169.8125,563609.6875,538678.9375,541194.1875,1328223357980
2019-06-08,551936.9375,560455.5,543851.8125,557671.8125,1146511735780
2019-06-09,533207.9375,553452.875,525935.5,551627.9375,1152039796720
2019-06-10,556292.0625,559020.9375,526177.6875,533499.75,1299533309190
2019-06-11,550112.0,558145.8125,539551.1875,556564.1875,1187091261760
2019-06-12,566267.8125,568630.75,545374.4375,549953.8125,1323198588040
2019-06-13,572404.8125,577898.8125,561039.875,566246.125,1298330315140
2019-06-14,607525.0625,608699.25,569240.4375,572403.0625,1385801663870
2019-06-15,617616.8125,619066.9375,602253.5,607239.5,1283749430830
2019-06-16,627632.25,652381.0625,615952.375,617831.0625,1629253692060
2019-06-17,651338.8125,657990.4375,627243.9375,627243.9375,1087593550420
2019-06-18,631027.25,653287.75,625642.5625,652395.125,1101179627820
2019-06-19,645522.4375,647339.1875,630854.1875,630816.3125,1082201002900
2019-06-20,662336.25,667012.1875,642440.875,645490.3125,1240726287870
2019-06-21,705856.5625,705856.5625,662753.125,662191.25,1435015097830
2019-06-22,744621.875,776326.25,703245.8125,708039.125,2087061375000
2019-06-23,755315.625,782619.1875,734491.375,744274.0,1461061458170
2019-06-24,762641.625,766585.3125,738275.6875,755202.4375,1334776805190
2019-06-25,817507.875,817507.875,762371.5,762371.5,1725000583510
2019-06-26,901315.5,954577.375,815058.3125,816652.625,3123369046440
2019-06-27,772149.3125,921752.6875,724378.3125,901377.3125,2760360711420
2019-06-28,855491.75,858101.0625,752832.75,770724.25,2419318441840
2019-06-29,824604.625,855048.9375,793508.4375,855038.875,2063272081740
2019-06-30,745848.3125,839705.625,744597.0625,822716.75,1879347475680
2019-07-01,729267.9375,771885.5625,695111.8125,744453.75,2024434522460
2019-07-02,744142.875,752122.625,671232.375,729650.3125,2136728971430
2019-07-03,822953.25,823319.0625,745278.0625,745278.0625,2118845002150
2019-07-04,769592.125,826096.0,766238.8125,823741.0,1778624656270
2019-07-05,751475.5625,782877.3125,746162.0625,768745.6875,1631743970380
2019-07-06,767225.3125,795455.0625,751755.125,751755.125,1443749063760
2019-07-07,783815.9375,790023.875,763135.6875,767845.8125,1325820339160
2019-07-08,843220.9375,847206.875,780736.9375,783525.0625,1611675605980
2019-07-09,861934.875,877057.375,839384.0625,843108.9375,1930911020380
2019-07-10,831233.1875,897151.1875,800763.9375,861778.875,2299372820630
2019-07-11,777744.625,830420.1875,764023.5625,830084.5,1957964979930
2019-07-12,810109.9375,816273.5,765927.9375,777445.9375,1613550305480
2019-07-13,781067.25,811890.5,747890.8125,809913.9375,1442692300560
2019-07-14,703131.25,785100.25,701658.5,780288.5,1541587317990
2019-07-15,746768.5,758164.5625,685156.8125,703253.3125,1739867017620
2019-07-16,650837.25,755558.75,649179.4375,746875.6875,1658482161080
2019-07-17,666894.875,685891.9375,630904.75,650395.8125,1690312322860
2019-07-18,734501.375,739288.0,645584.375,667218.1875,1734395971880
2019-07-19,725983.4375,736707.75,703900.75,733638.8125,1428938406070
2019-07-20,742238.125,761645.0625,720505.75,725644.6875,1392953118990
2019-07-21,729640.875,747390.9375,716212.25,742954.375,1179266658290
2019-07-22,712960.625,733279.9375,700131.0625,729492.375,1125947554380
2019-07-23,683448.9375,713656.5625,681273.0625,713211.6875,1232315937830
2019-07-24,676935.5625,683674.5625,662923.75,682549.0,1200357819460
2019-07-25,685310.75,702251.9375,675205.125,676740.375,1093939260710
2019-07-26,679669.125,685819.3125,671548.875,685399.5625,998174899315
2019-07-27,652632.875,700121.6875,648077.375,679728.4375,1158074364670
2019-07-28,658001.0625,659372.0625,637298.25,653593.4375,946320849382
2019-07-29,654427.0,667477.0,652241.0625,657678.625,948141178805
2019-07-30,661370.25,667929.375,648673.4375,654645.8125,952037283427
2019-07-31,696009.1875,696009.1875,662364.75,661138.0625,1147741239900
2019-08-01,720771.9375,721766.625,685556.0,695444.3125,1189681503980
2019-08-02,732768.625,742381.6875,718785.3125,720936.5,1218410968480
2019-08-03,753916.125,762628.3125,731746.5625,732845.5,1069573974850
2019-08-04,764259.25,766977.8125,739881.875,753909.625,1151656970970
2019-08-05,840113.9375,844111.4375,763601.0,763601.0,1699063117290
2019-08-06,813917.0,868986.5625,800693.5,840533.1875,1675965484160
2019-08-07,849966.5,855048.625,810752.3125,813776.875,1579722523650
2019-08-08,843403.1875,852632.6875,814738.75,850825.6875,1373080118530
2019-08-09,842766.75,847220.5,828442.0625,842491.3125,1302909566700
2019-08-10,806612.5625,846512.0,804472.4375,842668.6875,1287661501670
2019-08-11,818692.6875,818692.6875,799101.375,806308.25,1120690224500
2019-08-12,811398.375,819020.1875,806977.8125,819020.1875,972826878557
2019-08-13,774557.6875,814039.5625,769444.9375,811572.0625,1185846916490
2019-08-14,719963.375,774112.8125,718275.25,774106.8125,1431863784070
2019-08-15,736452.625,746459.9375,692443.8125,719012.0,1635459378990
2019-08-16,738061.625,749915.6875,701069.5,737015.0625,1439095297000
2019-08-17,727916.9375,743631.0625,717597.9375,736950.5625,980210765183
2019-08-18,736040.9375,746070.0,719902.75,728006.75,924857002925
2019-08-19,783392.8125,783392.8125,733717.4375,736359.1875,1150989266910
2019-08-20,769474.25,785616.625,760183.6875,783413.8125,1076159897800
2019-08-21,724347.3125,771979.625,711553.375,769570.0625,1391320613410
2019-08-22,728742.375,735156.625,704741.4375,724666.875,1229850005410
2019-08-23,747557.3125,750033.75,724928.4375,729120.25,1122418804140
2019-08-24,729683.3125,748279.5,716983.4375,747534.25,1109685295790
2019-08-25,725019.5625,740072.8125,716600.4375,729739.0625,1012162087400
2019-08-26,746905.4375,751762.8125,724145.875,724145.875,1327950022940
2019-08-27,728727.25,747664.125,721037.75,747049.9375,1056199104890
2019-08-28,700650.5,738007.0625,697676.625,730009.8125,1264462655120
2019-08-29,681788.1875,700820.1875,676680.3125,700820.1875,1222022438900
2019-08-30,688572.0,692770.4375,675913.6875,682121.125,975322878861
2019-08-31,690902.875,693955.875,683810.375,688526.5,821766667019
2019-09-01,700041.9375,702824.4375,687479.5,690897.8125,821095895390
2019-09-02,744677.0625,748762.5,700801.4375,700006.3125,1241380418290
2019-09-03,766700.875,775655.5625,745352.4375,744602.5,1399009531250
2019-09-04,762616.5,774346.4375,751215.6875,766530.5625,1205176355300
2019-09-05,760731.9375,763463.0625,755767.625,762162.375,1046717221780
2019-09-06,742124.75,781912.0625,737742.5625,760923.625,1400381680440
2019-09-07,753866.3125,756835.1875,741810.5625,742169.8125,1097216721670
2019-09-08,748427.8125,759484.75,745872.4375,753927.875,979902518475
2019-09-09,741814.1875,749070.25,725537.3125,748567.75,1262985258840
2019-09-10,727030.4375,746070.375,720078.875,741917.125,1071345402560
2019-09-11,728475.3125,732289.375,715599.75,727537.75,1104200508090
2019-09-12,742198.0625,741285.1875,719596.25,728364.1875,1092505396440
2019-09-13,735920.0625,741213.125,726499.5,742571.375,1002237797710
